feature,dtype,role
lead_time,int16,input
arrival_date_year,int16,input
arrival_date_month,category,input
arrival_date_week_number,int8,input
arrival_date_day_of_month,int8,input
stays_in_weekend_nights,int8,input
stays_in_week_nights,int8,input
adults,int16,input
children,int8,input
babies,int8,input
meal,category,input
country,category,input
distribution_channel,category,input
is_repeated_guest,int8,input
previous_cancellations,int8,input
previous_bookings_not_canceled,int8,input
deposit_type,category,input
agent,string,input
days_in_waiting_list,int16,input
customer_type,category,input
adr,float32,input
required_car_parking_spaces,int8,input
total_of_special_requests,int8,input
