feature,mean_abs_shap
reserved_room_type,0.08607120236543107
arrival_season,0.04678042932601652
agent,0.04017461468628484
arrival_date_week_number,0.029646251746766168
total_stay,0.026191304122204287
meal,0.018839269468331525
children,0.011473659862329405
adults,0.009275147445731567
distribution_channel,0.0
country,0.0
babies,0.0
lead_time,0.0
previous_bookings_not_canceled,0.0
previous_cancellations,0.0
days_in_waiting_list,0.0
deposit_type,0.0
stays_in_week_nights,0.0
stays_in_weekend_nights,0.0
customer_type,0.0
