feature,mean_abs_shap
total_of_special_requests,0.5014671007128114
agent,0.32935759205329834
lead_time,0.26948279399651076
country,0.20786545041039314
customer_type,0.128990814671819
arrival_date,0.07480921846461694
required_car_parking_spaces,0.05434866352152492
arrival_date_year,0.03000329717760432
previous_cancellations,0.028800149428312397
arrival_date_week_number,0.01726024208805843
adr,0.015279532736057555
stays_in_week_nights,0.012483436041652207
adr_per_person,0.00803689816731904
children,0.007039506310371021
is_repeated_guest,0.0017492880232472588
meal,0.0015797769225766672
deposit_type,0.0008625160689903848
distribution_channel,0.0006033639354955116
arrival_date_month,0.00021904667244967014
arrival_season,3.06546528670838e-05
