feature,importance
deposit_type,26.052689110896413
country,16.31845829016098
market_segment,12.428104452726876
required_car_parking_spaces,9.463202129219837
lead_time,5.475681666291908
total_of_special_requests,5.157688092059986
previous_cancellations,5.088499168877793
customer_type,4.687477094973462
agent,4.268702245955593
arrival_date_year,3.522980980618707
adr,1.511781806429115
distribution_channel,1.3417911524577537
hotel,0.8607321070268301
arrival_date_day_of_month,0.8210524798345434
total_stay,0.5474698922472482
adults,0.4801586011763376
stays_in_weekend_nights,0.44208094837040957
arrival_date_week_number,0.42370299849046983
arrival_season,0.3518635756812553
arrival_date_month,0.29700843183198866
