feature,mean_abs_shap
country,0.7310850673753357
deposit_type,0.5432295899668118
total_of_special_requests,0.4435664615788747
lead_time,0.39779520181650374
customer_type,0.3154726498790404
market_segment,0.30914399750288557
required_car_parking_spaces,0.18346656081578275
agent,0.164343095860639
previous_cancellations,0.12443463886804798
hotel,0.07588526786240758
arrival_date_year,0.07469102897239202
adr,0.06884226584512111
distribution_channel,0.030466055267865434
adults,0.027983651465506257
total_stay,0.02083310336875323
stays_in_weekend_nights,0.020636009301062748
arrival_date_week_number,0.014291374737627616
arrival_season,0.01402040057917441
arrival_date_day_of_month,0.01170240143463976
previous_bookings_not_canceled,0.011470827714098901
