feature,importance
deposit_type,34.255105866263065
country,18.03394875446681
market_segment,9.463502377411475
required_car_parking_spaces,8.293087952787506
lead_time,4.841695160710134
customer_type,4.69650570973956
total_of_special_requests,4.022618039019816
previous_cancellations,3.829999412313499
arrival_date,2.934608811860573
arrival_date_year,2.1784763239129763
agent,2.07795101488924
distribution_channel,1.3827472446088036
arrival_date_week_number,1.2596428307147236
adr,0.7418063639942072
stays_in_weekend_nights,0.7386980805994662
total_stay,0.42949398034095915
adr_per_person,0.3840230493017617
stays_in_week_nights,0.15383392559842043
children,0.14963813548076454
arrival_date_day_of_month,0.11696654005212109
