feature,mean_abs_shap
deposit_type,0.7244172413612676
country,0.676184755844764
total_of_special_requests,0.5674659402284628
lead_time,0.34991350811427263
market_segment,0.31983097497424084
customer_type,0.25089067897731837
required_car_parking_spaces,0.1733800998350473
previous_cancellations,0.11632223471780681
arrival_date,0.08626081170008029
distribution_channel,0.08239148113728893
agent,0.07384587044772832
arrival_date_year,0.04832879672917262
adr,0.04095476068081496
arrival_date_week_number,0.0323881818470038
stays_in_weekend_nights,0.028252609228970472
adr_per_person,0.02503131113628973
total_stay,0.024394986626604054
children,0.019950612675260423
stays_in_week_nights,0.011025442792978164
arrival_date_day_of_month,0.0052917846120225515
