feature,mean_abs_shap
country,0.4777614916120136
deposit_type,0.4367301182883199
distribution_channel,0.21182834854072516
total_of_special_requests,0.1814252898892545
lead_time,0.13420568492127086
customer_type,0.12813358083895568
market_segment,0.12545549399823347
required_car_parking_spaces,0.12078986273467725
adr,0.07695213303192044
arrival_season,0.06334902042441715
arrival_date_month,0.05460026388546369
stays_in_week_nights,0.031458366264345526
meal,0.021375659438162074
children,0.008498420058139671
stays_in_weekend_nights,0.0025811081506061703
total_stay,0.0
agent,0.0
arrival_date,0.0
babies,0.0
hotel,0.0
