feature,importance
deposit_type,32.420903795613086
total_stay,21.989975991925643
distribution_channel,15.85993396637273
arrival_season,11.109514426985136
customer_type,10.740873762699954
adults,5.666813311820005
stays_in_weekend_nights,1.1121524589161906
meal,1.0998322856672524
previous_cancellations,0.0
previous_bookings_not_canceled,0.0
arrival_date_month,0.0
children,0.0
babies,0.0
country,0.0
agent,0.0
market_segment,0.0
stays_in_week_nights,0.0
reserved_room_type,0.0
arrival_date_week_number,0.0
