feature,mean_abs_shap
deposit_type,0.10129543661733029
total_stay,0.09177767255146208
distribution_channel,0.06853430680773467
arrival_season,0.06547400916673765
customer_type,0.053848271292710685
adults,0.034950289537403284
stays_in_weekend_nights,0.011741990067210013
meal,0.007949025883790588
previous_cancellations,0.0
previous_bookings_not_canceled,0.0
arrival_date_month,0.0
children,0.0
babies,0.0
country,0.0
agent,0.0
market_segment,0.0
stays_in_week_nights,0.0
reserved_room_type,0.0
arrival_date_week_number,0.0
