feature,importance
deposit_type,32.009048815567816
total_stay,22.558845094544022
distribution_channel,17.605099832786866
arrival_season,11.785545501567444
customer_type,10.408551969574141
stays_in_weekend_nights,2.0415812074143105
meal,2.01896503282829
adults,1.5723625457171235
previous_bookings_not_canceled,0.0
arrival_date_month,0.0
children,0.0
babies,0.0
country,0.0
agent,0.0
market_segment,0.0
previous_cancellations,0.0
reserved_room_type,0.0
stays_in_week_nights,0.0
arrival_date_week_number,0.0
