feature,mean_abs_shap
total_stay,0.05496881031246785
deposit_type,0.053377093562987116
arrival_season,0.03636425701385776
distribution_channel,0.03483254687765947
customer_type,0.027220234447559718
stays_in_weekend_nights,0.011741990067210013
meal,0.007949025883790588
adults,0.0049134159686750325
previous_bookings_not_canceled,0.0
arrival_date_month,0.0
children,0.0
babies,0.0
country,0.0
agent,0.0
market_segment,0.0
previous_cancellations,0.0
reserved_room_type,0.0
stays_in_week_nights,0.0
arrival_date_week_number,0.0
