feature,importance
total_stay,30.239262928627447
market_segment,18.882899648602
arrival_date_month,17.691154476753844
deposit_type,10.84824529065784
stays_in_week_nights,8.623574825803587
hotel,6.743592396639299
distribution_channel,3.9097199371103777
customer_type,3.0615504958055935
babies,0.0
reserved_room_type,0.0
agent,0.0
country,0.0
adults,0.0
children,0.0
arrival_date_week_number,0.0
previous_bookings_not_canceled,0.0
previous_cancellations,0.0
meal,0.0
stays_in_weekend_nights,0.0
arrival_season,0.0
