feature,importance
deposit_type,55.10992744504761
lead_time,12.034865457770776
arrival_date_day_of_month,10.40758636843691
days_in_waiting_list,8.575210136335889
required_car_parking_spaces,7.267267407596985
country,2.778241172040423
adults,1.6837253950440634
total_stay,0.6763942631050801
arrival_date_month,0.4823477196984607
arrival_season,0.4707595797132304
total_of_special_requests,0.21313482119811814
distribution_channel,0.18005657944014206
adr_per_person,0.11433840793743856
market_segment,0.0061452466348747995
customer_type,0.0
arrival_date_year,0.0
previous_bookings_not_canceled,0.0
previous_cancellations,0.0
is_repeated_guest,0.0
children,0.0
