feature,mean_abs_shap
deposit_type,0.5703761209436121
lead_time,0.22303613151665955
country,0.13648443410471559
adults,0.1250053619535045
arrival_date_day_of_month,0.10034293539668639
days_in_waiting_list,0.08269228540403938
required_car_parking_spaces,0.07190218222688921
arrival_season,0.04774317116766781
arrival_date_month,0.04110578525218992
distribution_channel,0.030120624573757752
total_stay,0.026682360400225962
total_of_special_requests,0.019657063009839486
adr_per_person,0.012041261935476342
market_segment,0.005620653171188482
customer_type,0.0
arrival_date_year,0.0
previous_bookings_not_canceled,0.0
previous_cancellations,0.0
is_repeated_guest,0.0
children,0.0
