feature,mean_abs_shap
adr,0.057404477393352075
customer_type,0.02593330223864457
total_stay,0.025044765890474954
distribution_channel,0.012665402344703302
arrival_date_week_number,0.007247415296947651
adults,0.006279273547909875
is_repeated_guest,0.004025051846403712
arrival_date,0.0
arrival_season,0.0
market_segment,0.0
country,0.0
babies,0.0
children,0.0
total_of_special_requests,0.0
hotel,0.0
lead_time,0.0
previous_bookings_not_canceled,0.0
previous_cancellations,0.0
deposit_type,0.0
meal,0.0
