feature,mean_abs_shap
total_of_special_requests,0.26409215611564557
lead_time,0.0972098123255284
agent,0.09637453267490691
customer_type,0.058897839065407624
required_car_parking_spaces,0.031143793187848375
adr,0.011290940701406368
adr_per_person,0.006709017821034776
arrival_date_day_of_month,0.002711440953766021
stays_in_week_nights,0.0025192831441869365
previous_bookings_not_canceled,0.0016003723677449366
is_repeated_guest,0.0014138070928946425
deposit_type,0.0009720560318559012
total_stay,0.00027487107915451426
meal,2.516777820148027e-05
previous_cancellations,0.0
days_in_waiting_list,0.0
adults,0.0
babies,0.0
children,0.0
distribution_channel,0.0
