feature,importance
country,11.446247412710074
agent,9.448961572400359
lead_time,8.364880204233694
deposit_type,6.837047938992014
market_segment,5.260391157787352
total_of_special_requests,4.988535042059618
arrival_date_year,4.933136138643923
required_car_parking_spaces,4.836136623814635
arrival_date_day_of_month,4.6828321862718
arrival_date_month,4.14343304800038
adr_per_person,3.9552556048676144
previous_cancellations,3.7527322960093645
customer_type,3.7483299789644438
adr,3.689747865515502
arrival_date_week_number,3.449537684823047
total_stay,2.516300542706488
distribution_channel,2.241513444595168
meal,2.1301644630048973
arrival_season,2.048679145133767
stays_in_week_nights,2.033576878171333
