feature,mean_abs_shap
country,1.3514591848472948
deposit_type,1.0015426325081656
total_of_special_requests,0.7602590085982066
agent,0.6506403568249419
customer_type,0.5439705852157989
lead_time,0.49090496564892216
previous_cancellations,0.48955178303505825
market_segment,0.45006490537847393
required_car_parking_spaces,0.3947867334984717
arrival_date_year,0.3156275627561395
distribution_channel,0.2456336093473649
arrival_date_month,0.16650284408746155
meal,0.1297323492363224
adr,0.12726070324599692
arrival_season,0.12327024112115434
arrival_date_week_number,0.11308754676674176
adr_per_person,0.10103762097370428
arrival_date_day_of_month,0.08858962148577873
stays_in_weekend_nights,0.07191773948425259
total_stay,0.06994905292772145
