Feature,SHAP_Importance
arrival_date_month,11.611603072603096
reserved_room_type,7.3943167216612915
agent,7.065900971048122
hotel,6.464457709246693
lead_time,4.940825153057715
market_segment,4.813459527436249
meal,4.609448501722687
arrival_season,2.4940210124414164
adults,2.3549793264371823
deposit_type,2.2859479655966433
children,1.6744872341065804
customer_type,1.6364700686633924
total_stay,1.2749235916978938
country,1.163871080951139
distribution_channel,0.9481634732688933
booking_changes,0.6795288189425281
required_car_parking_spaces,0.5000324693564665
total_of_special_requests,0.4843462421278722
stays_in_weekend_nights,0.4777099747951043
stays_in_week_nights,0.4300687367204306
