feature,importance
target__agent,18.40866737190787
target__country,17.122210591622096
numeric__lead_time,7.777539114466672
numeric__required_car_parking_spaces,6.587321245107996
onehot__deposit_type_Non Refund,5.582195715120676
onehot__deposit_type_No Deposit,3.619880549314594
numeric__adr,3.5171344707404133
numeric__arrival_date_day_of_month,3.3941403240101278
numeric__previous_cancellations,2.8117231689479967
numeric__adr_per_person,2.694365384276471
numeric__total_stay,2.4635570934195417
numeric__arrival_date_week_number,2.3985546123227626
onehot__market_segment_Offline TA/TO,2.348628073094169
numeric__arrival_date_year,2.183398841703019
numeric__stays_in_week_nights,1.6865873598912422
numeric__total_of_special_requests,1.666258288043634
onehot__customer_type_Transient,1.0897140566828074
numeric__adults,1.0646373346008353
onehot__hotel_City Hotel,1.0565100541198307
numeric__stays_in_weekend_nights,1.0307597742479888
