feature,importance
numeric__previous_bookings_not_canceled,37.19602246814069
numeric__lead_time,14.697927535062016
numeric__previous_cancellations,7.736126692200211
target__country,7.530777151851931
numeric__adr,5.121211515619219
numeric__adr_per_person,3.4961336405664314
numeric__total_stay,3.0973715250977847
onehot__customer_type_Transient-Party,2.7486458075851763
numeric__stays_in_week_nights,2.7346773958315813
onehot__hotel_City Hotel,2.268545491707523
onehot__market_segment_Groups,2.097845208128823
onehot__market_segment_Offline TA/TO,1.8900971400131807
numeric__total_of_special_requests,1.7035482086489908
onehot__hotel_Resort Hotel,1.6496929047692142
numeric__stays_in_weekend_nights,1.4775862678263136
onehot__market_segment_Direct,0.9036756720813076
onehot__customer_type_Transient,0.8650296331585702
onehot__market_segment_Online TA,0.7345225781402864
onehot__distribution_channel_Direct,0.5150453058395262
onehot__distribution_channel_TA/TO,0.452352003213612
