feature,importance
numeric__lead_time,9.241999755113325
numeric__arrival_date_day_of_month,7.972598116268885
numeric__adr,7.842340504221948
numeric__adr_per_person,6.650728651130138
target__country,6.59135188379278
numeric__arrival_date_year,6.0347876908347375
numeric__total_stay,5.003889656823892
numeric__arrival_date_week_number,4.6974819140185815
numeric__total_of_special_requests,3.8784672499950497
onehot__deposit_type_No Deposit,3.51843511147197
onehot__deposit_type_Non Refund,3.4145272932667816
numeric__stays_in_week_nights,3.2806513343030033
numeric__stays_in_weekend_nights,3.2407145631438987
onehot__hotel_City Hotel,2.5641867053245
onehot__market_segment_Offline TA/TO,2.5370206556626296
onehot__market_segment_Online TA,2.3758614980050337
numeric__previous_cancellations,2.1643070892498217
onehot__hotel_Resort Hotel,1.6579948465903875
onehot__customer_type_Transient-Party,1.4316378765130569
numeric__children,1.3600611429202196
