feature,mean_abs_shap
lead_time,0.32530459333507755
deposit_type_Non Refund,0.29447043968239445
arrival_date_year,0.2710931741851963
total_stay,0.21531868165760965
hotel_Resort Hotel,0.21427362962493007
adr,0.19033809145151753
hotel_City Hotel,0.18859268791217668
total_of_special_requests,0.1842274492977043
country,0.1670520339686439
adr_per_person,0.15273051243958402
previous_cancellations,0.14692373723372687
market_segment_Online TA,0.14320756978770127
deposit_type_No Deposit,0.14028238037232016
arrival_date_day_of_month,0.11318507032991898
stays_in_week_nights,0.1011716143414978
arrival_date_week_number,0.09170024196702714
stays_in_weekend_nights,0.08594443181129646
market_segment_Offline TA/TO,0.0662056776326476
children,0.06104134236630043
customer_type_Transient-Party,0.05247566464981404
adults,0.05121825049920105
market_segment_Groups,0.03308874495442468
arrival_date_month_July,0.03262232785390022
customer_type_Transient,0.028890230483903358
meal_SC,0.02847345557877958
arrival_season_Summer,0.02489337340073629
arrival_season_Fall,0.02216998295394219
arrival_season_Winter,0.020657438071609156
arrival_date_month_August,0.019317148049224665
arrival_season_Spring,0.016759151827842357
meal_BB,0.015751379942471857
arrival_date_month_June,0.015672739471396704
previous_bookings_not_canceled,0.015456255476114433
arrival_date_month_May,0.013194582181273683
market_segment_Corporate,0.012984938033747616
arrival_date_month_April,0.012612965442349551
market_segment_Direct,0.012326461169165543
arrival_date_month_February,0.01108726896270776
arrival_date_month_September,0.010814935280590207
meal_HB,0.009887634476400172
distribution_channel_Corporate,0.009806170717268421
distribution_channel_TA/TO,0.009635008833111958
arrival_date_month_October,0.009482239954771234
arrival_date_month_March,0.008813374134024733
distribution_channel_Direct,0.008369083323547646
arrival_date_month_November,0.006756757196768804
customer_type_Contract,0.006470752046331051
meal_Undefined,0.004807958106370209
customer_type_Group,0.004198278319259496
is_repeated_guest,0.0038591131261139487
arrival_date_month_January,0.003857637101630809
market_segment_Aviation,0.0026047945662040933
babies,0.002487211320977005
distribution_channel_GDS,0.0014484586369438199
meal_FB,0.0013588775703091477
arrival_date_month_December,0.0010907905756810548
market_segment_Complementary,0.0004101153663658948
deposit_type_Refundable,0.0001807179508372494
distribution_channel_Undefined,0.00011777459090360379
market_segment_Undefined,0.0
