Feature,Importance
market_segment,18.586447900146677
agent,12.044707816469462
country,9.734763555820724
arrival_date_month,9.619720268975192
reserved_room_type,6.259357659566029
customer_type,5.641242043776254
adults,3.765468503884195
total_stay,3.746569554907602
deposit_type,3.5947433328040073
meal,3.5144695242475152
children,3.126970450023317
hotel,3.0292831175527333
previous_bookings_not_canceled,2.990013969662857
arrival_season,2.9294307661901993
stays_in_weekend_nights,2.496643652936589
booking_changes,2.480588175854294
stays_in_week_nights,1.9186598113646132
distribution_channel,1.5718455860622143
babies,1.386717015791763
required_car_parking_spaces,1.1649889214308868
