Feature,SHAP_Importance
market_segment,0.14695313665629536
agent,0.07577007601014452
deposit_type,0.050311375417676066
adults,0.0410982286433393
country,0.03869190503954052
arrival_date_month,0.034129303055327
reserved_room_type,0.03196900840223909
children,0.028310335398242785
customer_type,0.022166982489342436
total_stay,0.022068377141369628
previous_bookings_not_canceled,0.020429101103878373
meal,0.018212807100727937
hotel,0.016166853898268926
booking_changes,0.014387470945660863
arrival_season,0.01218608148703173
babies,0.010616300032085328
distribution_channel,0.009657039635485386
required_car_parking_spaces,0.00939852027194978
stays_in_weekend_nights,0.008228857522142339
stays_in_week_nights,0.004719902848587887
